player,match_id,set_no,game_no,point_no,elapsed_time,p1_score,p2_score,y,if_score,if_nscore,if_server,if_win_game,if_win_set,if_end_game,if_end_set,game_point,break_point,break_fail,broken,rally_count,speed_mph,net_pt,serve_width,serve_depth,return_depth,weighted_sum_if_score,weighted_sum_if_nscore,weighted_sum_if_win_game,weighted_sum_if_win_set,weighted_sum_game_point,weighted_sum_break_point,weighted_sum_break_fail,weighted_sum_broken,weighted_sum_rally_count,quality
Stan Wawrinka,2023-wimbledon-1316,1,1,1,00:00:00,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,124.0,0,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stan Wawrinka,2023-wimbledon-1316,1,1,2,00:00:35,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,119.0,0,3,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
Stan Wawrinka,2023-wimbledon-1316,1,1,3,00:00:56,0,30,1,1,0,0,0,0,0.0,0.0,0,0,0,0,2,110.0,0,4,0,1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0
Stan Wawrinka,2023-wimbledon-1316,1,1,4,00:01:24,15,30,0,0,1,0,0,0,1.0,0.0,0,0,0,0,3,120.0,0,1,1,1,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0
Stan Wawrinka,2023-wimbledon-1316,1,1,5,00:01:48,15,40,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,112.0,0,4,0,1,0.5,1.375,0.0,0.0,0.0,0.0,0.0,0.0,4.375,0.0
Stan Wawrinka,2023-wimbledon-1316,1,2,6,00:02:35,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,16,124.0,0,3,1,0,0.25,1.6875,0.0,0.0,0.0,0.0,0.0,0.0,3.1875,0.0
Stan Wawrinka,2023-wimbledon-1316,1,2,7,00:03:18,0,15,0,0,1,1,0,0,0.0,0.0,0,0,0,0,4,93.0,0,2,1,1,0.125,1.84375,0.0,0.0,0.0,0.0,0.0,0.0,17.59375,0.3333333333333333
Stan Wawrinka,2023-wimbledon-1316,1,2,8,00:03:58,0,30,0,0,1,1,0,0,0.0,0.0,0,0,0,0,8,96.0,0,0,1,0,0.0625,1.921875,0.0,0.0,0.0,0.0,0.0,0.0,12.796875,0.0
Stan Wawrinka,2023-wimbledon-1316,1,2,9,00:04:42,0,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,3,93.0,0,2,1,1,0.03125,1.9609375,0.0,0.0,0.0,0.0,0.0,0.0,14.3984375,0.3333333333333333
Stan Wawrinka,2023-wimbledon-1316,1,2,10,00:05:19,15,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,1,116.0,0,4,0,1,1.015625,0.98046875,0.0,0.0,0.0,0.0,0.0,0.0,10.19921875,1.0
Stan Wawrinka,2023-wimbledon-1316,1,2,11,00:05:43,30,40,1,1,0,1,0,0,0.0,0.0,0,0,0,0,7,93.0,0,2,1,1,1.5078125,0.490234375,0.0,0.0,0.0,0.0,0.0,0.0,6.099609375,0.3333333333333333
Stan Wawrinka,2023-wimbledon-1316,1,2,12,00:06:31,40,40,1,1,0,1,0,0,1.0,0.0,0,0,0,0,5,99.0,0,1,1,1,1.75390625,0.2451171875,0.0,0.0,0.0,0.0,0.0,0.0,10.0498046875,1.0
Stan Wawrinka,2023-wimbledon-1316,1,2,13,00:07:08,AD,40,1,1,0,1,1,0,0.0,0.0,1,0,0,0,1,129.0,0,4,0,2,1.876953125,0.12255859375,0.0,0.0,0.0,0.0,0.0,0.0,10.02490234375,1.0
Stan Wawrinka,2023-wimbledon-1316,1,3,14,00:07:36,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,5,89.0,0,1,1,1,1.9384765625,0.061279296875,1.0,0.0,1.0,0.0,0.0,0.0,6.012451171875,0.0
Stan Wawrinka,2023-wimbledon-1316,1,3,15,00:08:18,0,15,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1,106.0,0,3,0,0,0.96923828125,1.0306396484375,0.5,0.0,0.5,0.0,0.0,0.0,8.0062255859375,1.0
